,Unnamed: 0,nama,brand,harga,terjual,gambar
2,2,"Apple MacBook Pro A2251 13"" 512GB, Space Grey",Excellent - Refurbished,746445875,1,https://i.ebayimg.com/thumbs/images/g/1agAAeSwyydoSdNB/s-l960.webp
3,3,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",Very Good - Refurbished,531983375,0,https://i.ebayimg.com/thumbs/images/g/baYAAeSwvNNpHMMD/s-l960.webp
4,4,"New Listing🔥NEW ASUS TUF FA607NUG 16"" AMD Ryzen 7 7445HS/16GB/512GB/RTX4050 Gaming Laptop",Brand New,1163733375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
5,5,Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD   BLUE,Pre-Owned,646513000,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
6,6,"Dell - 15.6"" 2K Touchscreen Laptop - Intel Core i5 1334U 2023 - 8GB Memory - ...",Brand New,664983375,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
7,7,Acer Predator Helios Neo 14 Gaming Notebook Intel Ultra7 GeForceRTX4070 16GB 1TB,Certified - Refurbished,1286758375,766,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
8,8,Acer Swift Go 16 Touchscreen Laptop Intel Ultra 9 32GB RAM 1TB SSD Refurbished,Certified - Refurbished,997483375,888,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
9,9,"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 7520 2.8GHz 16GB RAM 1TB SSD Refurbished",Certified - Refurbished,378534625,9,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
10,10,"2021 Apple M1 Pro MacBook Pro 14"" 16GB/512GB SSD - (Space Gray) A2442 w/Warranty",Good - Refurbished,1007574750,140,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
11,11,"2018 Apple MacBook Pro 15"" i9 2.40GHz/32GB/1TB - (Space Gray) A1990 w/Warranty",Good - Refurbished,565815250,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
12,12,"1 Year Warranty Dell P29T001 11.6"" Chromebook Celeron 1.1GHz/4GB/32GB (Black)",Good - Refurbished,60515000,2,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
13,13,"MacBook Pro M1 Pro 10-Core 16-Core GPU 16"" (2021) 32GB 512GB A2485 Gray - Good",Good - Refurbished,1163666875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
14,14,Intel Computer NUC PC Mini 1 TB 8GB i5-8265U 8th gen workstation Desktop Win 10,Brand New,240846375,443,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
15,15,"HP ZBOOK 15 G5 15.5"" Intel Core i7-8850H 2.60GHz 32GB RAM 512GB NVMe",Pre-Owned,332483375,84,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
16,16,BUNDLE APPLE MACBOOK AIR 13 INCH LAPTOP / 8GB RAM / 256GB SSD / MACOS,Pre-Owned,385700000,3,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
17,17,"Lenovo ThinkPad T14 Touch 14"" Intel Core i7 4.90 GHz 48GB RAM 4TB SSD Win 11 Pro",Very Good - Refurbished,664983375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
18,18,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",Very Good - Refurbished,482108375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
19,19,"Acer Aspire AI 14-14"" Touchscreen Laptop Intel Core Ultra 5 16GB 1TB Refurbished",Certified - Refurbished,598483375,350,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
20,20,"Acer Swift 16"" AI Copilot+PC OLED Intel Ultra7 256V 16GB RAM 1TB SSD Refurbished",Certified - Refurbished,1219144500,346,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
21,21,"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 1024GB SSD, Business",Brand New,332483375,53,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
