,nama,brand,harga,terjual,gambar
0,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
1,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
2,"Apple MacBook Pro A2251 13"" 512GB, Space Grey",Excellent - Refurbished,"IDR7,464,458.75",Only 1 left!,https://i.ebayimg.com/thumbs/images/g/1agAAeSwyydoSdNB/s-l960.webp
3,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",Very Good - Refurbished,"IDR5,319,833.75 to IDR13,416,375.00",,https://i.ebayimg.com/thumbs/images/g/baYAAeSwvNNpHMMD/s-l960.webp
4,"New Listing🔥NEW ASUS TUF FA607NUG 16"" AMD Ryzen 7 7445HS/16GB/512GB/RTX4050 Gaming Laptop",Brand New,"IDR11,637,333.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
5,Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD   BLUE,Pre-Owned,"IDR6,465,130.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
6,"Dell - 15.6"" 2K Touchscreen Laptop - Intel Core i5 1334U 2023 - 8GB Memory - ...",Brand New,"IDR6,649,833.75","1,464 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
7,Acer Predator Helios Neo 14 Gaming Notebook Intel Ultra7 GeForceRTX4070 16GB 1TB,Certified - Refurbished,"IDR12,867,583.75",766 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
8,Acer Swift Go 16 Touchscreen Laptop Intel Ultra 9 32GB RAM 1TB SSD Refurbished,Certified - Refurbished,"IDR9,974,833.75",888 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
9,"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 7520 2.8GHz 16GB RAM 1TB SSD Refurbished",Certified - Refurbished,"IDR3,785,346.25","9,538 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
10,"2021 Apple M1 Pro MacBook Pro 14"" 16GB/512GB SSD - (Space Gray) A2442 w/Warranty",Good - Refurbished,"IDR10,075,747.50",140 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
11,"2018 Apple MacBook Pro 15"" i9 2.40GHz/32GB/1TB - (Space Gray) A1990 w/Warranty",Good - Refurbished,"IDR5,658,152.50",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
12,"1 Year Warranty Dell P29T001 11.6"" Chromebook Celeron 1.1GHz/4GB/32GB (Black)",Good - Refurbished,"IDR605,150.00","2,000 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
13,"MacBook Pro M1 Pro 10-Core 16-Core GPU 16"" (2021) 32GB 512GB A2485 Gray - Good",Good - Refurbished,"IDR11,636,668.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
14,Intel Computer NUC PC Mini 1 TB 8GB i5-8265U 8th gen workstation Desktop Win 10,Brand New,"IDR2,408,463.75",443 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
15,"HP ZBOOK 15 G5 15.5"" Intel Core i7-8850H 2.60GHz 32GB RAM 512GB NVMe",Pre-Owned,"IDR3,324,833.75",84 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
16,BUNDLE APPLE MACBOOK AIR 13 INCH LAPTOP / 8GB RAM / 256GB SSD / MACOS,Pre-Owned,"IDR3,857,000.00",Only 3 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
17,"Lenovo ThinkPad T14 Touch 14"" Intel Core i7 4.90 GHz 48GB RAM 4TB SSD Win 11 Pro",Very Good - Refurbished,"IDR6,649,833.75 to IDR13,300,000.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
18,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",Very Good - Refurbished,"IDR4,821,083.75 to IDR14,214,375.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
19,"Acer Aspire AI 14-14"" Touchscreen Laptop Intel Core Ultra 5 16GB 1TB Refurbished",Certified - Refurbished,"IDR5,984,833.75",350 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
20,"Acer Swift 16"" AI Copilot+PC OLED Intel Ultra7 256V 16GB RAM 1TB SSD Refurbished",Certified - Refurbished,"IDR12,191,445.00",346 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
21,"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 1024GB SSD, Business",Brand New,"IDR3,324,833.75",53 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
22,HP EliteBook 14” FHD AMD Ryzen 5 PRO Laptop PC Up To 32GB RAM 1TB SSD Windows 11,Good - Refurbished,"IDR3,543,120.00 to IDR6,996,298.75",65 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
23,"Dell Latitude 13.3"" Laptop - Intel i7 8th Gen | 16GB RAM 256GB NVMe Windows 11",Very Good - Refurbished,"IDR3,324,833.75",78 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
24,Acer Nitro V16S Laptop AMD Ryzen 7 GeForce RTX 5060 16GB RAM 1TB SSD Refurbished,Certified - Refurbished,"IDR13,313,133.75",62 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
25,"MSI Thin 15 B13VF-2830US 15.6"" Gaming Laptop i5-13420H 4060 16GB 512GB Win11",Certified - Refurbished,"IDR9,958,375.00",61 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
26,"HP - Victus 15.6"" 144Hz Full HD Gaming Laptop - AMD Ryzen 7 7445HS - 16GB Mem...",Brand New,"IDR14,962,333.75","3,232 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
27,"Dell - Plus - Copilot+ PC - 14"" 2K 2-in-1 Touchscreen Laptop - AMD Ryzen AI 7...",Brand New,"IDR9,143,583.75",165 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
28,"Apple - MacBook Air - 13"" - M2 Chip - 16GB RAM - 256GB SSD - Free Shipping",Brand New,"IDR9,974,833.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
29,"Apple M1 MacBook Air 13.3"" 90%+ Battery 8GB 128GB 2020 (Silver) A2337 w/Warranty",Excellent - Refurbished,"IDR6,036,371.25",105 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
30,"MAXED!! Apple MacBook Air Retina 13"" + LOADED!! + 2023 OS + EXTRAS! + 256 GB SSD",Pre-Owned,"IDR9,950,062.50",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
31,"Dell Latitude 5420 14"" 512GB i5-1145G7 WIN11H, Grey",Good - Refurbished,"IDR3,241,875.00",151 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
32,Lenovo ThinkPad Laptop Light Gaming PC Core i7 16GB RAM 512GB SSD Windows 11 Pro,Good - Refurbished,"IDR5,271,455.00","2,289 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
33,"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",Pre-Owned,"IDR2,493,583.75",Only 2 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
34,New ListingLenovo Legion 5i Gen 10 OLED Ultra 7 255HX RTX5060 RAM 32GB SSD 1TB + Extras,Open Box,"IDR16,625,000.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
35,"Lenovo ThinkPad L13 2-in-1 Touchscreen 13.3"" Laptop Core i5 8GB 256GB SSD Win 11",Good - Refurbished,"IDR3,306,380.00",212 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
36,Lenovo ThinkPad X1 Carbon Gen 9 14 - Intel Core i7 32GB 512GB Win 11 Pro * READ,Pre-Owned,"IDR6,649,335.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
37,"2020 Apple MacBook Air 13.3"" M1 3.2GHz 8GB 128GB 7-Core GPU w/1 year Warranty",Good - Refurbished,"IDR5,400,963.75",797 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
38,"ASUS - Vivobook 16 16"" FHD+ Laptop - Copilot+ PC - AMD Ryzen AI 5 330 with 16...",Brand New,"IDR8,312,333.75",179 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
39,"2025 HP Touch Laptop 15.6"" 10-Core Intel i7, Up to 64GB RAM & 2TB SSD, Win11 Pro",Brand New,"IDR10,955,875.00 to IDR16,608,375.00",115 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
40,"Dell Latitude 5310 Business Laptop 13.3"" Win 11 Pro Core i5 16GB RAM 256GB SSD",Good - Refurbished,"IDR3,698,397.50","1,688 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
41,Dell Precision 7560 Laptop 15.6” FHD 8-Core Xeon 32GB RAM 512GB SSD Win 11 Pro,Excellent - Refurbished,"IDR10,473,583.75",83 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
42,"Apple MacBook Air M1 8-Core CPU 8GB RAM 128GB SSD 13"" MGN53LL/A (2020)",Good - Refurbished,"IDR5,402,626.25",248 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
43,"Lenovo - Yoga 7 2-in-1 - Copilot+ PC - 14"" 2K OLED Touchscreen Laptop - AMD R...",Brand New,"IDR8,811,083.75",84 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
44,"Alienware Aurora Ac16250 Gaming 16"" Intel® Core™ 7-240H Series 2, 10 cores 512 G",Brand New,"IDR14,131,083.75",171 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
45,"Lenovo Slim 7i 14"" WUXGA OLED Touch Aura Edition Ultra 7 258V 32GB RAM 1TB SSD",Certified - Refurbished,"IDR11,620,875.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
46,"Lenovo Thinkpad 14"" Light Gaming Laptop AMD Ryzen 5 PRO 4.0GHz 48GB RAM 4TB SSD",Excellent - Refurbished,"IDR6,317,333.75 to IDR13,466,250.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
47,Dell Latitude 3590 15.6” Laptop Intel Core i5 16GB RAM 512GB SSD Windows 11 Pro,Good - Refurbished,"IDR4,023,748.75",409 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
